"start","end","text"
"460","22910"," (Transcribed by TurboScribe.ai. Go Unlimited to remove this message.) مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"22910","30550"," مرحبا، مرحبا، مرحبا، مرحبا،"
"32120","40060"," مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"40060","42420"," مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"42420","48040"," مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"48040","73160"," مرحبا، م"
"84820","86280"," مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"86280","87020"," مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"87020","87120"," مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"87120","90340"," مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا، مرحبا،"
"90340","100080"," مرحبا، مرحبا، مرحبا، مرحبا،"
"100080","106160"," مرحبا أريد أن أسألك بعض الأسئلة أولاً أريد"
"106160","113760"," أن أخبرك أنتوان لقد بدأنا بالتحضير لمجموعة مالوبس"
"114960","119680"," وقمنا باستخدام خطة التمبيلات الموجودة في إي-كوميرس"
"119680","128639"," أعتقد أن هذا كان مثالاً صحيحاً لإستخدامها في"
"128639","131540"," البداية لدينا لا أعرف هل تتذكر لدينا بعض"
"131540","136000"," الموديلات التي قمنا بها لدينا الموديل النوبي الموديل"
"136000","141700"," الصوري لذلك أولاً نحن نفكر في في البداية"
"141700","148400"," على أية حال في إختيار موديل الموديل الذي"
"148400","153000"," لدينا ربما الموديل النوبي لذلك في البداية لدينا"
"153000","161020"," مفتاح أسهل لإظهار الموديل هل تعتقد أنه فكرة"
"161020","162420"," جيدة؟"
"162420","167880"," نعم جيد في الموديل الأول كانت خيار الموديل"
"167880","169960"," إما أن تبدأ مع موديلات أخرى أو مع"
"169960","173700"," الموديل الأسهل أو مع الموديل الذي تحبه هنا"
"173700","177660"," لا يوجد ضرر إنه كما تريدون يمكن أن"
"177660","179080"," تقوموا بعمل موديل أخر ولكن يجب أن تأخذوا"
"179080","183640"," وقتاً لذلك يجب أن تقوموا بعمل موديل واحد"
"183640","190400"," وكل ما ستبنى سيأتي حوله التطوير والتبع لذلك"
"190400","193940"," يمكن أن تقوموا بعمل موديل واحد لذلك لا"
"193940","200440"," تعتقدوا أن الموديل النوبي سيكون أسهل للتحقيق خصوصاً"
"200440","214120"," في تحقيق المعلومات أريد"
"214120","220140"," أن أتحدث عن الموديل الأسهل وموديل الأسهل أريد"
"220140","290840"," أن أتحدث عن الموديل الأسهل وهناك"
"290840","299760"," أشياء مثل ذلك وفي نفس الوقت حسنًا رأيت"
"299760","302500"," أن هناك ملاحظة في الملاحظة التي قمت بإرسالها"
"302500","307380"," بأنه يجب أن يتغير كل ما يتعلق بالنوتبوك"
"307380","311760"," إلى كود بيتون أعتقد أننا لدينا جزء من"
"311760","316520"," كودنا وهو في الواقع كود بيتون هل يجب"
"316520","325920"," أن نحصل على كود"
"325920","335700"," بيتون يحمل المعلومات ويدعم الموديل ويحفظ الموديل"
"335700","337840"," هل يجب أن نحصل على كل شيء أو"
"337840","344260"," هل يمكن أن يكون هناك ملاحظات هل تريد"
"344260","346780"," أن تقول منذ الحلقة الأولى؟"
"346780","349220"," نعم منذ الحلقة الأولى هل يجب أن يكون"
"349220","351360"," هناك فرصة تقديمها أو هل سيكون هذا الموضوع"
"351360","357200"," الموضوع التالي الموضوع التالي في الموضوع التالي سيكون"
"357200","361620"," أفضل في الموضوع التالي سيكون هناك كود بيتون"
"363540","369960"," يحفظ الموديل ويحفظ الموضوع هناك فرصة تقديمها وفي"
"369960","375720"," الموضوع التالي في الموضوع التالي في الموضوع التالي"
"375720","383620"," وفي الموضوع التالي فلنا نحتاج هناك كل حافة"
"383620","385780"," منma هذا يجب أن يكون بدائيا يتم في"
"385780","391820"," جاعات الجسر إستعمال في الحلقة الثالثة محفظっちゃهاد من"
"391820","401200"," عدد الشيء هذا بايجافي من قبل حسنا هلا"
"404500","406140"," مرحبا مرحباً جوان."
"408300","415000"," هل لديك أسئلة عن المشروع الجديد الذي ستبدأ"
"415000","415600"," به؟"
"415600","418580"," بالنسبة للمشروع الجديد، لا أعتقد أنه موجود حتى"
"418580","420220"," الآن، لكنه طبيعي."
"420380","421480"," وفي نفس الوقت، نحن في البداية. "
"422680","426080"," وكما كان يجب أن يتحدث عنه، فقد قررنا"
"426080","428820"," أن نبدأ بمشروع جديد جديد."
"428820","434360"," لذلك، أعتقد أنه سيكون هناك الكثير من التعديلات"
"434360","435280"," في هذا المشروع."
"435360","437320"," لأنه منذ البداية، نحن نعمل على نفس المشروع. "
"437700","441420"," وهذا المشروع يعتبر نفسه، ولكنه مختلفًا قليلاً."
"441980","445300"," لذلك، سيكون هناك عدد من التعديلات التي ستحتاجها."
"446520","450640"," ولكن من هنا، في البداية، لا أرى أي"
"450640","451500"," مشكلة أو موضوع. "
"452140","456220"," وأعتقد أننا سنتواصل معك بحاجة إذا كانت تحتاجها."
"457200","457980"," حسنًا، لا مشكلة."
"458520","460500"," بعد ذلك، المشروع ميلوبس سينتهي بسرعة جدًا. "
"461720","465420"," لأنك تنتهي في 24 مارس في شهر."
"466500","467800"," وهناك الكثير من الأشياء التي يجب أن تفعلها."
"468560","470280"," سترى أنني أضعت في المشروع المشروع الرقم 4."
"472200","476640"," لأنه لن يبقى لكم حتى أسبوع لتفعيله. "
"477000","478840"," لذلك، الوقت قليل جدًا."
"480060","481300"," المشروع المشروع الرقم 5."
"481420","482680"," أحببت أن أضعه في المشروع المشروع الرقم 5."
"482760","484200"," لأنه يعتمد على التطبيقات."
"484220","485680"," مثل المشروع المشروع الرقم 5."
"486940","490760"," ولكن كما قمت بالفعل في المشروع المشروع الرقم"
"490760","490980"," 5."
"491140","492540"," إما أن تقوموا بإعادة التطبيقات. "
"494140","496600"," أو سنرى كيفية تحضير المشروع الرقم 5."
"496620","498200"," ستستطيعون أن تظهر لنا المشروع الرقم 5."
"498600","500440"," لا يوجد مجال التطبيقات المشروع الرقم 5."
"502940","504780"," فقط المشروع الرقم 4 والمشروع الرقم 5."
"689070","698770"," بالمناسبة، نحن نحاول إضافة موديلات التدريب والتدريب"
"698770","704530"," وكل ما يتعلق بالتدريب نعم بالتأكيد نعم بالتأكيد"
"706830","710530"," وكما قلت، عندما تدخل في موديل، يجب أن"
"710530","714730"," تقارنه بالموديل السابق لذلك يجب أن تقوم بحفظ"
"714730","719450"," جميع هذه الموديلات وكما قلت، عندما تدخل في"
"719450","722530"," موديل، يجب أن تقارنها بالموديل السابق نعم بالتأكيد"
"722530","727130"," هل يمكننا تطبيق هذا بالموديل السابق؟"
"727130","732530"," نعم حسنًا، هل يجب أن نقوم بذلك بسرعة"
"732530","735270"," مع موديلات التدريب والتدريب؟"
"736270","741890"," بالتأكيد لا، يجب أن نقوم بذلك بسرعة مع"
"741890","748670"," موديلات التدريب والتدريب يجب أن نقوم بذلك بسرعة"
"748670","754730"," مع موديلات التدريب والتدريب ويجب أن نقوم بذلك"
"754730","756170"," بسرعة مع موديلات التدريب والتدريب "
